discharge,qualifiers_discharge,date
26100,['A'],2022-06-01
23300,['A'],2022-06-02
21800,['A'],2022-06-03
21900,['A'],2022-06-04
23600,['A'],2022-06-05
26900,['A'],2022-06-06
30100,['A'],2022-06-07
29200,['A'],2022-06-08
26600,['A'],2022-06-09
25900,['A'],2022-06-10
36100,['A'],2022-06-11
52000,['A'],2022-06-12
64300,['A'],2022-06-13
67900,['A'],2022-06-14
62600,['A'],2022-06-15
53100,['A'],2022-06-16
41600,['A'],2022-06-17
34900,['A'],2022-06-18
30500,['A'],2022-06-19
28400,['A'],2022-06-20
26000,['A'],2022-06-21
23200,['A'],2022-06-22
21400,['A'],2022-06-23
20300,['A'],2022-06-24
19100,['A'],2022-06-25
17300,['A'],2022-06-26
15900,['A'],2022-06-27
15100,['A'],2022-06-28
14900,['A'],2022-06-29
15200,['A'],2022-06-30
14900,['A'],2022-07-01
14300,['A'],2022-07-02
14000,['A'],2022-07-03
14900,['A'],2022-07-04
14700,['A'],2022-07-05
14300,['A'],2022-07-06
13400,['A'],2022-07-07
12100,['A'],2022-07-08
11300,['A'],2022-07-09
11000,['A'],2022-07-10
10800,['A'],2022-07-11
10600,['A'],2022-07-12
10400,['A'],2022-07-13
10100,['A'],2022-07-14
10000,['A'],2022-07-15
9700,['A'],2022-07-16
9060,['A'],2022-07-17
8560,['A'],2022-07-18
8330,['A'],2022-07-19
8210,['A'],2022-07-20
8120,['A'],2022-07-21
7960,['A'],2022-07-22
7900,['A'],2022-07-23
7950,['A'],2022-07-24
7930,['A'],2022-07-25
7750,['A'],2022-07-26
7600,['A'],2022-07-27
7460,['A'],2022-07-28
7400,['A'],2022-07-29
7420,['A'],2022-07-30
7490,['A'],2022-07-31
7480,['A'],2022-08-01
7370,['A'],2022-08-02
7190,['A'],2022-08-03
6900,['A'],2022-08-04
6740,['A'],2022-08-05
6720,['A'],2022-08-06
6860,['A'],2022-08-07
6800,['A'],2022-08-08
6780,['A'],2022-08-09
7000,['A'],2022-08-10
7060,['A'],2022-08-11
7000,['A'],2022-08-12
6980,['A'],2022-08-13
6960,['A'],2022-08-14
6940,['A'],2022-08-15
6820,['A'],2022-08-16
6770,['A'],2022-08-17
6800,['A'],2022-08-18
6850,['A'],2022-08-19
6940,['A'],2022-08-20
6940,['A'],2022-08-21
6930,['A'],2022-08-22
6780,['A'],2022-08-23
6640,['A'],2022-08-24
6600,['A'],2022-08-25
6560,['A'],2022-08-26
6690,['A'],2022-08-27
7100,['A'],2022-08-28
7180,['A'],2022-08-29
7010,['A'],2022-08-30
7030,['A'],2022-08-31
12400,['A'],2023-06-01
12200,['A'],2023-06-02
12000,['A'],2023-06-03
11900,['A'],2023-06-04
11900,['A'],2023-06-05
11600,['A'],2023-06-06
11400,['A'],2023-06-07
11300,['A'],2023-06-08
11100,['A'],2023-06-09
11100,['A'],2023-06-10
11000,['A'],2023-06-11
10900,['A'],2023-06-12
10600,['A'],2023-06-13
10100,['A'],2023-06-14
10000,['A'],2023-06-15
9890,['A'],2023-06-16
9480,['A'],2023-06-17
9150,['A'],2023-06-18
9190,['A'],2023-06-19
9280,['A'],2023-06-20
9210,['A'],2023-06-21
8950,['A'],2023-06-22
8710,['A'],2023-06-23
8550,['A'],2023-06-24
8320,['A'],2023-06-25
8330,['A'],2023-06-26
8250,['A'],2023-06-27
8150,['A'],2023-06-28
8020,['A'],2023-06-29
7930,['A'],2023-06-30
7850,['A'],2023-07-01
7660,['A'],2023-07-02
7610,['A'],2023-07-03
7490,['A'],2023-07-04
7430,['A'],2023-07-05
7320,['A'],2023-07-06
7260,['A'],2023-07-07
7260,['A'],2023-07-08
7320,['A'],2023-07-09
7330,['A'],2023-07-10
7220,['A'],2023-07-11
7170,['A'],2023-07-12
7130,['A'],2023-07-13
7080,['A'],2023-07-14
6950,['A'],2023-07-15
6650,['A'],2023-07-16
6470,['A'],2023-07-17
6380,['A'],2023-07-18
6340,['A'],2023-07-19
6320,['A'],2023-07-20
6400,['A'],2023-07-21
6290,['A'],2023-07-22
6160,['A'],2023-07-23
6120,['A'],2023-07-24
6110,['A'],2023-07-25
6150,['A'],2023-07-26
6210,['A'],2023-07-27
6200,['A'],2023-07-28
6150,['A'],2023-07-29
6180,['A'],2023-07-30
6240,['A'],2023-07-31
6180,['A'],2023-08-01
6120,['A'],2023-08-02
6080,['A'],2023-08-03
6060,['A'],2023-08-04
6260,['A'],2023-08-05
6620,['A'],2023-08-06
6690,['A'],2023-08-07
6610,['A'],2023-08-08
6600,['A'],2023-08-09
6570,['A'],2023-08-10
6520,['A'],2023-08-11
6510,['A'],2023-08-12
6570,['A'],2023-08-13
6620,['A'],2023-08-14
6640,['A'],2023-08-15
6620,['A'],2023-08-16
6660,['A'],2023-08-17
6650,['A'],2023-08-18
6590,['A'],2023-08-19
6450,['A'],2023-08-20
6480,['A'],2023-08-21
6430,['A'],2023-08-22
6460,['A'],2023-08-23
6470,['A'],2023-08-24
6470,['A'],2023-08-25
6690,['A'],2023-08-26
7030,['A'],2023-08-27
7310,['A'],2023-08-28
7490,['A'],2023-08-29
7460,['A'],2023-08-30
7700,['A'],2023-08-31
12700,['A'],2024-06-01
13100,['A'],2024-06-02
18400,['A'],2024-06-03
23200,['A'],2024-06-04
20400,['A'],2024-06-05
17800,['A'],2024-06-06
16400,['A'],2024-06-07
16100,['A'],2024-06-08
15100,['A'],2024-06-09
14100,['A'],2024-06-10
13300,['A'],2024-06-11
12500,['A'],2024-06-12
11700,['A'],2024-06-13
11400,['A'],2024-06-14
11200,['A'],2024-06-15
11200,['A'],2024-06-16
11200,['A'],2024-06-17
10700,['A'],2024-06-18
10000,['A'],2024-06-19
9660,['A'],2024-06-20
9450,['A'],2024-06-21
9500,['A'],2024-06-22
9530,['A'],2024-06-23
9570,['A'],2024-06-24
9440,['A'],2024-06-25
9220,['A'],2024-06-26
9170,['A'],2024-06-27
9150,['A'],2024-06-28
9160,['A'],2024-06-29
9570,['A'],2024-06-30
10200,['A'],2024-07-01
10500,['A'],2024-07-02
10300,['A'],2024-07-03
10100,['A'],2024-07-04
10000,['A'],2024-07-05
9930,['A'],2024-07-06
9900,['A'],2024-07-07
9760,['A'],2024-07-08
9620,['A'],2024-07-09
9620,['A'],2024-07-10
9530,['A'],2024-07-11
9460,['A'],2024-07-12
9370,['A'],2024-07-13
9370,['A'],2024-07-14
9060,['A'],2024-07-15
8340,['A'],2024-07-16
7670,['A'],2024-07-17
6880,['A'],2024-07-18
6960,['A'],2024-07-19
7050,['A'],2024-07-20
7120,['A'],2024-07-21
7560,['A'],2024-07-22
7450,['A'],2024-07-23
7490,['A'],2024-07-24
7930,['A'],2024-07-25
8680,['A'],2024-07-26
8670,['A'],2024-07-27
8460,['A'],2024-07-28
8000,['A'],2024-07-29
7480,['A'],2024-07-30
7370,['A'],2024-07-31
7310,['A'],2024-08-01
7240,['A'],2024-08-02
7420,['A'],2024-08-03
7860,['A'],2024-08-04
7850,['A'],2024-08-05
7590,['A'],2024-08-06
7520,['A'],2024-08-07
7520,['A'],2024-08-08
7490,['A'],2024-08-09
7480,['A'],2024-08-10
7510,['A'],2024-08-11
7450,['A'],2024-08-12
7470,['A'],2024-08-13
7160,['A'],2024-08-14
7090,['A'],2024-08-15
7100,['A'],2024-08-16
7150,['A'],2024-08-17
7380,['A'],2024-08-18
7450,['A'],2024-08-19
7290,['A'],2024-08-20
7180,['A'],2024-08-21
7130,['A'],2024-08-22
7190,['A'],2024-08-23
7380,['A'],2024-08-24
7420,['A'],2024-08-25
7340,['A'],2024-08-26
7220,['A'],2024-08-27
7140,['A'],2024-08-28
7060,['A'],2024-08-29
7020,['A'],2024-08-30
7390,['A'],2024-08-31
10600,['A'],2025-06-01
10000,['A'],2025-06-02
9870,['A'],2025-06-03
9690,['A'],2025-06-04
9490,['A'],2025-06-05
9370,['A'],2025-06-06
9190,['A'],2025-06-07
8710,['A'],2025-06-08
8260,['A'],2025-06-09
7830,['A'],2025-06-10
7590,['A'],2025-06-11
7480,['A'],2025-06-12
7370,['A'],2025-06-13
7140,['A'],2025-06-14
7090,['A'],2025-06-15
7060,['A'],2025-06-16
6960,['A'],2025-06-17
6870,['A'],2025-06-18
6850,['A'],2025-06-19
6890,['A'],2025-06-20
7250,['A'],2025-06-21
8230,['A'],2025-06-22
8730,['A'],2025-06-23
8080,['A'],2025-06-24
7500,['A'],2025-06-25
7200,['A'],2025-06-26
7080,['A'],2025-06-27
7040,['A'],2025-06-28
7190,['A'],2025-06-29
7130,['A'],2025-06-30
7010,['A'],2025-07-01
7000,['A'],2025-07-02
6920,['A'],2025-07-03
6890,['A'],2025-07-04
6890,['A'],2025-07-05
6870,['A'],2025-07-06
6830,['A'],2025-07-07
6760,['A'],2025-07-08
6670,['A'],2025-07-09
6640,['A'],2025-07-10
6630,['A'],2025-07-11
6570,['A'],2025-07-12
6530,['A'],2025-07-13
6520,['A'],2025-07-14
6440,['A'],2025-07-15
6370,['A'],2025-07-16
6380,['A'],2025-07-17
6390,['A'],2025-07-18
6410,['A'],2025-07-19
6420,['A'],2025-07-20
6460,['A'],2025-07-21
6480,['A'],2025-07-22
6460,['A'],2025-07-23
6430,['A'],2025-07-24
6450,['A'],2025-07-25
6400,['A'],2025-07-26
6360,['A'],2025-07-27
6360,['A'],2025-07-28
6290,['A'],2025-07-29
6230,['A'],2025-07-30
6250,['A'],2025-07-31
6320,['A'],2025-08-01
6270,['A'],2025-08-02
6380,['A'],2025-08-03
6450,['A'],2025-08-04
6390,['A'],2025-08-05
6420,['A'],2025-08-06
6450,['A'],2025-08-07
6470,['A'],2025-08-08
6450,['A'],2025-08-09
6460,['A'],2025-08-10
6430,['A'],2025-08-11
6310,['A'],2025-08-12
6290,['A'],2025-08-13
6350,['A'],2025-08-14
6350,['A'],2025-08-15
6440,['A'],2025-08-16
6530,['A'],2025-08-17
6560,['A'],2025-08-18
6460,['A'],2025-08-19
6350,['A'],2025-08-20
6320,['A'],2025-08-21
6430,['A'],2025-08-22
6550,['A'],2025-08-23
6650,['A'],2025-08-24
6850,['A'],2025-08-25
6850,['A'],2025-08-26
6690,['A'],2025-08-27
6590,['A'],2025-08-28
6560,['A'],2025-08-29
6600,['A'],2025-08-30
6680,['A'],2025-08-31
9470,['P'],2026-06-01
